iter	MultiClass
0	2.127235625
1	1.935221406
2	1.798398376
3	1.639724238
4	1.526731197
5	1.405815402
6	1.313389671
7	1.22933055
8	1.160749519
9	1.104827648
10	1.046496773
11	0.9852882292
12	0.9154134672
13	0.86549107
14	0.8185916516
15	0.7890942328
16	0.7348819312
17	0.6941504423
18	0.661321551
19	0.6284303007
20	0.596114415
21	0.5601941776
22	0.5369529236
23	0.5151094343
24	0.5002448409
25	0.4802575628
26	0.4631464876
27	0.4415043986
28	0.4225031915
29	0.4067730053
30	0.3936957954
31	0.3773985258
32	0.3681237197
33	0.3529198107
34	0.3380458879
35	0.3287161111
36	0.3143141183
37	0.3098246181
38	0.3053090257
39	0.2919172481
40	0.2860998238
41	0.2782003839
42	0.2697975827
43	0.2604622428
44	0.2521776211
45	0.2427274252
46	0.2349965293
47	0.2287552578
48	0.2234106884
49	0.2144325716
50	0.211058532
51	0.2081838717
52	0.2043250503
53	0.2001920262
54	0.1963750127
55	0.1937869885
56	0.1873496437
57	0.1815087917
58	0.1769883384
59	0.1735999226
60	0.1709204437
61	0.1674530363
62	0.1634420157
63	0.1613332515
64	0.1573520764
65	0.1528055588
66	0.1500252283
67	0.1473048454
68	0.1444579621
69	0.1411604156
70	0.1396590066
71	0.1363897903
72	0.1335418638
73	0.1303425034
74	0.1283513535
75	0.1271187727
76	0.1243269374
77	0.1220217031
78	0.1208145709
79	0.120251758
80	0.1183152683
81	0.1164630983
82	0.1146881417
83	0.1131828577
84	0.1114009116
85	0.1092560611
86	0.1070745058
87	0.1057346721
88	0.1050507847
89	0.1031763719
90	0.101757316
91	0.1000815812
92	0.09854713702
93	0.09709179392
94	0.09598103398
95	0.09426655184
96	0.09267937488
97	0.09141430177
98	0.09013087142
99	0.08883291712
